Job_Title,"Total _Years_of _Professional_Experience",Total_Compensation
"Chief Operating Officer","11 - 20 years",612500
"Senior Consultant","21 - 30 years",612500
"Development Manager","21 - 30 years",611400
"Senior Product Manager","21 - 30 years",611000
"Assistant Director","5-7 years",609735
Attorney,"31 - 40 years",608500
Partner,"8 - 10 years",607000
"Project Manager","31 - 40 years",605872
"Account Executive","8 - 10 years",603000
"Academic Advisor","5-7 years",602750
"School Psychologist","11 - 20 years",602718
"Office Administrator","11 - 20 years",602543
"Data Engineer","2 - 4 years",602200
"Business Development Manager","11 - 20 years",599200
"Human Resources Manager","8 - 10 years",598944
"Senior Systems Engineer","11 - 20 years",595869
"Analytics Manager","8 - 10 years",595600
"Senior Policy Advisor","5-7 years",593591
"Social Worker","11 - 20 years",593500
"Legal Assistant","5-7 years",592631
Archivist,"11 - 20 years",592105
"Software Development Manager","8 - 10 years",592000
"Technical Lead","11 - 20 years",591000
"General Manager","8 - 10 years",589200
"Director Of Product","11 - 20 years",588950
Recruiter,"2 - 4 years",588135
"Senior Executive Assistant","11 - 20 years",585172
"Director Of Communications","8 - 10 years",583800
"Director of HR","21 - 30 years",583450
"Principal Scientist","11 - 20 years",583000
"Director Of Sales","11 - 20 years",583000
Administrator,"11 - 20 years",582700
"Marketing Manager","2 - 4 years",582700
"Director of Marketing","21 - 30 years",582000
"Project Engineer","8 - 10 years",581600
"Associate Consultant","2 - 4 years",581000
"Systems Engineer","5-7 years",580014
Registrar,"11 - 20 years",579780
"Senior Executive Assistant","21 - 30 years",578000
"Content Manager","5-7 years",577500
"Art Director","11 - 20 years",575000
"Data Engineer","11 - 20 years",574000
"Social Media Manager","8 - 10 years",573000
"Senior Data Scientist","11 - 20 years",572550
"Principal Product Designer","11 - 20 years",572000
"Senior Finance Manager","11 - 20 years",571958
"Research Associate","11 - 20 years",570000
"Email Marketing Manager","11 - 20 years",569600
"Associate General Counsel","8 - 10 years",568685
"Creative Director","21 - 30 years",568632
"Policy Analyst","8 - 10 years",568052
"Deputy General Counsel","11 - 20 years",568000
"Systems Analyst","11 - 20 years",567900
"Software Engineer III","5-7 years",567000
"Data Scientist","21 - 30 years",566000
"Content Marketing Manager","11 - 20 years",565800
"DevOps Engineer","8 - 10 years",565300
"Engineering Manager","31 - 40 years",565000
"Store Manager","21 - 30 years",564628
"Email Marketing Manager","5-7 years",564500
"Database Administrator","11 - 20 years",563099
"Associate Attorney","1 year or less",563000
"Director of Customer Success","11 - 20 years",559000
"Software Engineer Ii","11 - 20 years",558750
Psychologist,"5-7 years",555500
"Senior Manager, Operations","11 - 20 years",554700
"Senior Engineering Manager","8 - 10 years",554000
"Customer Success Manager","2 - 4 years",550900
"Customer Service Manager","11 - 20 years",550635
"Senior Process Engineer","5-7 years",549160
"Program Coordinator","8 - 10 years",548765
"Case Manager","5-7 years",546260
"Lead Software Engineer","5-7 years",545139
"Academic Advisor","11 - 20 years",545000
"Staff Software Engineer","8 - 10 years",545000
"Assistant Controller","11 - 20 years",544560
"Team Lead","21 - 30 years",544282
"Senior Marketing Manager","21 - 30 years",544105
"Senior Consultant","5-7 years",543500
Professor,"31 - 40 years",543000
Economist,"11 - 20 years",542395
"Senior Data Analyst","11 - 20 years",541255
"Brand Manager","11 - 20 years",541000
"Senior Electrical Engineer","8 - 10 years",540500
"Vice President  Finance","8 - 10 years",540000
"Budget Analyst","11 - 20 years",539916
"Research Analyst","5-7 years",538780
"Engagement Manager","8 - 10 years",538600
Scientist,"11 - 20 years",538508
Statistician,"11 - 20 years",538093
"Project Engineer","2 - 4 years",537400
"Marketing Specialist","5-7 years",537176
"Product Owner","21 - 30 years",536400
"Program Officer","8 - 10 years",535100
"Administrative Coordinator","11 - 20 years",533821
"Executive Director","5-7 years",533651
"Technical Director","11 - 20 years",533200
"Team Leader","11 - 20 years",533000
"Software Engineer Ii","8 - 10 years",532100
"Store Manager","11 - 20 years",529559
"Mechanical Engineer","8 - 10 years",529000
"Associate Director Of Marketing","11 - 20 years",528400
"Senior Principal Engineer","11 - 20 years",527000
"Civil Engineer","11 - 20 years",525520
Copywriter,"5-7 years",525517
"Instructional Designer","21 - 30 years",525240
"Communications Director","8 - 10 years",525000
"IT Manager","8 - 10 years",524695
"Lead Software Engineer","21 - 30 years",523500
Lawyer,"11 - 20 years",523000
"Program Manager","31 - 40 years",522700
"Attorney Advisor","11 - 20 years",522268
"Communication Manager","21 - 30 years",522000
Teacher,"31 - 40 years",521865
Epidemiologist,"5-7 years",521120
"Director Of Research","11 - 20 years",521000
"Content Marketing Manager","5-7 years",520800
"Human Resources Business Partner","11 - 20 years",520569
"Software Engineer","31 - 40 years",519600
"Senior Communications Manager","11 - 20 years",516960
"Senior Account Manager","8 - 10 years",515510
"Product Designer","5-7 years",515500
Geologist,"11 - 20 years",515468
"Senior Mechanical Engineer","11 - 20 years",513900
"Quality Assurance Manager","11 - 20 years",513500
"Research Analyst","8 - 10 years",513100
"Legal Assistant","31 - 40 years",513000
"Data Scientist","1 year or less",512000
"Financial Analyst","11 - 20 years",511776
"Vice President Product Management","21 - 30 years",510000
"Senior Scientist","8 - 10 years",509870
"Medical Writer","5-7 years",508500
"Process Engineer","11 - 20 years",508000
Accountant,"5-7 years",507748
Counsel,"8 - 10 years",507000
"Enterprise Architect","31 - 40 years",507000
Copywriter,"11 - 20 years",505300
Consultant,"1 year or less",505000
"Senior Systems Engineer","8 - 10 years",503500
"Personal Assistant","11 - 20 years",502310
"Recruiting Manager","11 - 20 years",502000
"Human Resources Generalist","11 - 20 years",500700
"Enterprise Account Executive","11 - 20 years",500000
"Research Analyst","11 - 20 years",498600
"Managing Director","21 - 30 years",498000
"DevOps Engineer","11 - 20 years",497626
"IT Director","11 - 20 years",497250
Lawyer,"8 - 10 years",496500
"Marketing Coordinator","5-7 years",495681
"CEO (Chief Executive Officer)","31 - 40 years",495400
"Site Reliability Engineer","8 - 10 years",495000
"Social Media Manager","5-7 years",494991
"Assistant Project Manager","5-7 years",494500
"Project Coordinator","2 - 4 years",494254
"Chief Of Staff","5-7 years",492800
"Senior Site Reliability Engineer","11 - 20 years",492000
"Operations Analyst","11 - 20 years",492000
"Human Resources Business Partner","8 - 10 years",491800
"Sales Engineer","11 - 20 years",490000
"Engineering Director","21 - 30 years",490000
"Senior Producer","11 - 20 years",489500
Controller,"8 - 10 years",489000
"Content Strategist","5-7 years",488000
"Software Engineering Manager","8 - 10 years",487500
"Sales Engineer","8 - 10 years",487410
"Brand Manager","5-7 years",487250
"Content Manager","11 - 20 years",487200
"Process Engineer","8 - 10 years",487000
"Principal Product Manager","11 - 20 years",487000
"Senior Executive Assistant","31 - 40 years",486000
